"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"OK","Oklahoma","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,222","$","Dollars","    (35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OK","Oklahoma","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","101,6",,"Pack","    (35.472031356, -97.521070214)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OR","Oregon","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","55,2",,"Pack","    (44.567449424, -120.155031326)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OR","Oregon","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,142","$","Dollars","    (44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"PA","Pennsylvania","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","68,9",,"Pack","    (40.793730152, -77.860700294)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"PA","Pennsylvania","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,303","$","Dollars","    (40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"RI","Rhode Island","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","61,1",,"Pack","    (41.708280193, -71.522470314)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"RI","Rhode Island","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,452","$","Dollars","    (41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SC","South Carolina","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","92,2",,"Pack","    (33.998821303, -81.045371207)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"SC","South Carolina","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,122","$","Dollars","    (33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SD","South Dakota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,506","$","Dollars","    (44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SD","South Dakota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","69,3",,"Pack","    (44.353130053, -100.373530637)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TN","Tennessee","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,182","$","Dollars","    (35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TN","Tennessee","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","96,5",,"Pack","    (35.68094058, -85.774490914)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TX","Texas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","55,8",,"Pack","    (31.827240407, -99.426770206)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TX","Texas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,364","$","Dollars","    (31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"UT","Utah","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","34,2",,"Pack","    (39.360700171, -111.587130635)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"UT","Utah","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,76","$","Dollars","    (39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,435","$","Dollars","    (43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","69,2",,"Pack","    (43.625381239, -72.517640791)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"VA","Virginia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,282","$","Dollars","    (37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VA","Virginia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","97,4",,"Pack","    (37.542680674, -78.457890463)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
